,28milename,14milelat,14milelon,CRN,is_severe,Exit_Number,POLICE_AGCY
0,mile112,40.107882,-79.242567,398,16,2,8
1,mile140,39.964591,-78.809443,279,10,2,6
2,mile168,40.00474,-78.382198,445,7,2,6
3,mile196,40.067397,-77.926592,251,9,4,7
4,mile224,40.187713,-77.463394,219,15,2,7
5,mile252,40.19997,-76.948185,708,23,3,20
6,mile28,40.697655,-80.298905,522,11,3,11
7,mile280,40.228711,-76.450034,448,30,3,12
8,mile308,40.174169,-75.961205,648,19,3,11
9,mile336,40.075964,-75.491609,1949,33,3,18
10,mile344,40.082135,-75.184061,2958,104,1,14
11,mile56,40.588292,-79.88337,790,27,4,19
12,mile84,40.264796,-79.661088,505,17,4,13
